TAHUN,PROVINSI,KOTA/KABUPATEN,PERSENTASE BALITA GIZI KURANG (BB/TB: < -2 S.D. -3 SD),PERSENTASE BALITA DITIMBANG (D/S) (L+P),PERSENTASE BALITA BERAT BADAN KURANG(BB/U) ATAU UNDERWEIGHT,PERSENTASE BALITA PENDEK (TB/U) ATAU STUNTING,PERSENTASE BALITA BATUK ATAU KESUKARAN BERNAFAS DIBERIKAN TATALAKSANA STANDAR,PENYEBAB KEMATIAN BALITA (12-59 BULAN)-PNEUMONIA,PENYEBAB KEMATIAN BALITA (12-59 BULAN)-DIARE,PERSENTASE KUNJUNGAN NEONATAL 1 KALI (KN1) (L+P),PERSENTASE KUNJUNGAN NEONATAL 3 KALI (KN1) (L+P),PERSENTASE - BAYI DIIMUNISASI HB0 < 24 JAM (L + P),PERSENTASE - BAYI DIIMUNISASI HB0 1-7 HARI (L),PERSENTASE - BAYI DIIMUNISASI LENGKAP (L + P),PERSENTASE PESERTA KB KONDOM,PERSENTASE PESERTA KB SUNTIK,PERSENTASE PESERTA KB PIL,PERSENTASE PESERTA KB IMPLAN,PERSENTASE PESERTA KB,PERSENTASE IBU BERSALIN/ NIFAS KF1,PERSENTASE IBU HAMIL K1,PERSENTASE IBU HAMIL K4,PERSENTASE IBU HAMIL Td1,PERSENTASE IBU HAMIL Td2,PERSENTASE IBU HAMIL Td3,PERSENTASE WUS (15-39 TAHUN) Td1,PERSENTASE WUS (15-39 TAHUN) Td2,PERSENTASE WUS (15-39 TAHUN) Td3,PERSENTASE WUS (15-39 TAHUN) Td4,PERSENTASE PERSALINAN DI FASYANKES,BOR (%),PERSENTASE PELAYANAN KESEHATAN BAYI (L+P),PERSENTASE - SISWA KELAS 1 SD/MI MENDAPAT PELAYANAN KESEHATAN,PERSENTASE - SISWA KELAS 7 SMP/MTS MENDAPAT PELAYANAN KESEHATAN,PERSENTASE - SISWA KELAS 10 SMA/MA MENDAPAT PELAYANAN KESEHATAN,PERSENTASE - PELAYANAN KESEHATAN PADA USIA PENDIDIKAN DASAR,PERSENTASE BUMIL DENGAN KOMPLIKASI KEBIDANAN DITANGANI ,PERSENTASE  BAYI (6-11 BULAN)  MENDAPAT VIT A,PERSENTASE ANAK BALITA (12-59 BULAN)  MENDAPAT VIT A,PERSENTASE BALITA (6-59 BULAN) MENDAPAT VIT A,PERSENTASE IBU NIFAS MENDAPAT VIT A,PERSENTASE - PUSKESMAS MEMILIKI 80% OBAT DAN VAKSIN ESENSIAL,PERSENTASE - POSYANDU AKTIF,PUSKESMAS MELAKSANAKAN KEGIATAN KESEHATAN REMAJA,PERSENTASE RUMAH SAKIT TERAKREDITASI,PERSENTASE PENDERITA HIPERTENSI MENDAPAT PELAYANAN KESEHATAN (L+P),PERSENTASE PENDERITA DM YANG MENDAPATKAN PELAYANAN KESEHATAN SESUAI STANDAR,PERSENTASE PEMERIKSAAN IVA,PERSENTASE IVA POSITIF,PERSENTASE CURIGA KANKER LEHER RAHIM,PERSENTASE TUMOR/ BENJOLAN,PERSENTASE  ODGJ BERAT MENDAPAT PELAYANAN KESEHATAN,PERSENTASE KASUS DIRUJUK (GIGI),PERSENTASE ANGKA KEBERHASILAN PENGOBATAN (SUCCESS RATE/SR) SEMUA KASUS TUBERKULOSIS (L+P),PERSENTASE SEMUA KASUS TBC (L),PERSENTASE SEMUA KASUS TBC (P),PERSENTASE  KEMATIAN SELAMA PENGOBATAN TUBERKULOSIS,PERSENTASE ANGKA KESEMBUHAN (CURE RATE) TBC PARU TERKONFIRMASI BAKTERIOLOGIS (L),PERSENTASE PENEMUAN KASUS DIARE SEMUA UMUR DILAYANI ,PERSENTASE KASUS BARU PENDERITA KUSTA CACAT TINGKAT 0,PERSENTASE KASUS BARU PENDERITA KUSTA CACAT TINGKAT 2,PERSENTASE TOTAL PENEMUAN PNEUMONIA (L+P),PERSENTASE SARANA AIR MINUM YANG DIAWASI/ DIPERIKSA KUALITAS AIR MINUMNYA SESUAI STANDAR (AMAN),PERSENTASE DEPOT AIR MINUM LAIK HSP,PERSENTASE KK DENGAN AKSES TERHADAP FASILITAS SANITASI YANG LAYAK.1,PERSENTASE  TPM MEMENUHI SYARAT KESEHATAN,PERSENTASE DESA/KELURAHAN STOP BABS (SBS)
2020-01-01,KALIMANTAN BARAT,KAB. SAMBAS,5.0,61.1,13.8,18.2,100.0,0.0,0.0,93.3,92.3,79.1,10.8,89.7,0.8,41.1,17.3,1.0,61.3,89.0,93.4,84.8,7.3,13.2,16.0,1.1,1.8,2.0,1.7,87.0,38.3,79.1,94.4,76.3,58.3,18.4,99.3,92.5,86.0,87.3,89.0,100.0,61.3,5.0,75.0,8.1,16.0,0.2,0.0,0.0,0.0,45.7,8.1,100.0,66.9,33.1,0.2,96.3,29.3,0.0,0.0,5.2,32.7,51.9,81.0,31.6,50.3
2020-01-01,KALIMANTAN BARAT,KAB. BENGKAYANG,10.6,50.4,19.9,30.1,100.0,0.0,2.0,83.4,82.2,62.0,4.4,74.4,0.7,23.2,12.8,4.0,42.8,80.2,93.2,83.6,16.5,13.7,7.0,1.7,1.4,0.7,0.4,75.7,35.2,93.6,29.0,19.8,12.8,11.8,73.6,85.4,76.2,78.3,80.2,88.2,94.2,14.0,100.0,18.9,75.1,2.5,2.9,1.4,0.6,65.0,0.0,100.0,59.8,40.2,0.6,100.0,27.0,0.0,0.0,11.6,59.6,61.5,93.4,63.1,8.1
2020-01-01,KALIMANTAN BARAT,KAB. LANDAK,15.4,51.5,23.5,28.2,98.2,0.0,0.0,84.8,81.0,25.1,50.1,90.1,0.7,45.8,24.1,1.5,72.6,81.2,91.2,77.2,0.0,0.0,0.3,0.1,0.0,0.1,0.0,76.7,31.7,100.0,90.3,80.8,68.6,24.5,63.9,89.7,92.2,91.6,81.2,93.8,70.0,16.0,100.0,28.9,60.5,0.7,1.0,1.8,0.0,90.4,1.3,98.2,66.8,33.2,3.1,66.7,24.8,100.0,0.0,4.0,57.4,57.6,61.1,53.1,1.3
2020-01-01,KALIMANTAN BARAT,KAB. MEMPAWAH,6.7,30.8,12.6,18.1,93.2,0.0,0.0,98.8,98.4,77.6,9.4,66.1,1.3,18.7,8.5,1.1,30.9,94.7,95.1,90.0,9.2,12.0,11.5,1.7,2.2,2.0,1.8,92.3,31.1,91.4,98.5,98.4,97.8,30.3,72.0,97.5,87.7,89.9,92.0,85.7,88.5,14.0,100.0,0.1,0.0,2.1,0.5,0.9,0.6,10.3,5.3,93.2,62.7,37.3,4.5,78.0,43.1,100.0,0.0,24.7,10.6,90.2,81.7,56.9,6.0
2020-01-01,KALIMANTAN BARAT,KAB. SANGGAU,8.3,44.4,18.7,28.5,100.0,0.0,1.0,85.3,88.5,46.0,43.4,100.0,0.1,12.4,5.8,0.9,19.9,85.7,93.9,87.4,2.4,4.4,19.8,0.3,0.4,1.8,2.4,65.1,32.1,78.7,8.9,0.0,0.0,1.4,67.9,47.8,52.9,51.9,85.7,89.5,35.8,9.0,60.0,3.4,24.7,1.4,1.2,0.1,0.7,3.3,0.0,100.0,69.8,30.2,1.6,95.8,20.8,100.0,0.0,1.4,34.0,46.1,65.3,59.3,2.4
2020-01-01,KALIMANTAN BARAT,KAB. KETAPANG,6.3,28.2,11.3,15.8,56.7,0.0,0.0,78.7,72.4,29.0,19.8,45.4,0.5,42.1,15.1,5.3,64.9,74.8,91.0,73.0,5.4,5.9,5.7,0.7,0.6,0.5,0.5,47.5,44.2,74.4,12.6,6.4,3.1,2.5,55.9,77.1,69.1,70.9,72.1,95.8,93.9,16.0,100.0,11.2,68.4,0.8,3.5,2.0,6.1,63.9,100.0,56.7,62.9,37.1,4.5,65.6,36.0,87.5,0.0,3.3,0.5,22.1,57.4,27.6,3.4
2020-01-01,KALIMANTAN BARAT,KAB. SINTANG,13.0,37.9,24.9,32.3,79.4,0.0,0.0,79.3,78.2,66.6,9.5,75.6,0.1,9.8,7.4,0.8,18.4,87.6,86.0,76.9,4.5,4.6,5.3,0.4,0.4,0.5,0.5,66.1,18.9,80.4,16.9,10.3,6.7,3.8,51.9,77.2,62.6,65.8,95.1,90.0,73.3,20.0,33.33,21.6,27.4,0.3,0.5,0.5,0.5,55.5,9.0,79.4,62.7,37.3,0.2,97.7,7.2,100.0,0.0,37.4,6.0,55.5,65.8,35.3,3.2
2020-01-01,KALIMANTAN BARAT,KAB. KAPUAS HULU,12.5,45.4,28.2,34.6,0.0,0.0,0.0,78.7,77.3,58.9,13.3,72.5,0.1,43.9,10.9,4.6,61.8,75.3,79.3,61.6,4.6,4.9,4.0,0.5,0.5,0.6,0.6,65.9,26.5,75.2,79.0,97.1,44.8,20.6,62.8,85.0,78.2,79.5,74.7,87.0,24.7,19.0,100.0,1.9,5.5,0.2,0.0,0.0,0.0,83.5,1.3,0.0,73.5,26.5,1.3,56.4,46.6,100.0,0.0,11.8,69.0,49.6,78.5,47.0,8.5
2020-01-01,KALIMANTAN BARAT,KAB. SEKADAU,14.2,51.4,22.6,32.5,0.0,0.0,0.0,76.3,76.2,60.3,13.9,97.1,0.5,59.8,19.7,7.0,90.4,72.1,85.9,74.2,25.0,19.9,8.2,2.3,1.8,0.9,0.5,45.4,28.7,76.2,0.0,0.0,0.0,0.0,24.7,95.7,79.9,83.0,72.1,83.3,0.0,12.0,100.0,7.7,51.1,0.1,0.0,0.0,0.0,41.6,0.0,0.0,61.5,38.5,0.7,100.0,31.5,0.0,0.0,0.9,14.1,52.9,73.3,42.7,23.0
2020-01-01,KALIMANTAN BARAT,KAB. MELAWI,16.5,55.2,28.1,36.3,100.0,0.0,0.0,75.8,72.5,64.0,0.0,68.4,0.2,54.3,23.5,0.7,79.1,72.4,83.0,74.0,16.2,13.7,9.7,1.6,1.3,1.0,0.6,51.5,51.05,59.1,29.2,22.5,21.7,5.4,24.2,62.5,53.7,55.4,72.5,72.7,49.4,1.0,75.0,5.6,48.5,0.4,0.0,0.0,0.0,36.8,1.3,100.0,59.1,40.9,0.0,26.5,19.2,0.0,0.0,30.3,22.4,61.9,60.4,59.6,11.2
